name;lat;lon;description
Frankfurt am Main; 50.1106529; 8.6820934; [[http://www.lugfrankfurt.de/lpd]]
Stuttgart; 48.7784485; 9.1800132; [[http://lug-s.org/cgi/wiki.pl?LinuxPresentationDay2015]]
Essen; 51.4572062; 7.0114963; [[http://www.linudata.de/linux/]]
Bremen; 53.0758196; 8.8071646; [[http://www.lug-bremen.info/2015/08/linux-presentation-day-2015/]]
Nürnberg; 49.4538723; 11.0772978; [[http://www.lpd.pumedia.de/]]
Bonn; 50.7358511; 7.1006599; [[http://bolug.uni-bonn.de/news/linux-presentation-day-2015.html]]
Münster; 51.9501317; 7.61330165026119; [[http://www.mueslihq.de/linux_presentation_day.php]]
Augsburg; 48.3668041; 10.8986971; [[http://www.luga.de/Aktionen/LPD-2015/]]
Kiel; 54.3216753; 10.1371858; [[http://www.kieler-linuxtage.de/index.php?id=00085]]
Halle (Saale); 51.4825041; 11.9705452; [[http://www.halle.it/linux-presentation-day/]]
Mülheim an der Ruhr; 51.4272809; 6.8828707; [[http://netzwerk-bildung.net/lpd.html]]
Oldenburg; 53.1389753; 8.2146017; [[http://opennord.de/linux-presentation-day/]]
Ingolstadt; 48.7630165; 11.4250395; [[http://www.lug-in.de/LPD]]
Wolfsburg; 52.4205588; 10.7861682; [[http://woblug.blogspot.de/2015/08/linux-presentation-day-2015-in-wolfsburg.html]]
Reutlingen; 48.4919508; 9.2114144; [[http://lug-reutlingen.de/de-V.pl/Presentation-Day]]
Bremerhaven; 53.5522264; 8.5865509; [[http://lug-bremerhaven.de/lpd.html]]
Remscheid; 51.1798706; 7.1943544; [[http://computer-service-remscheid.de/lpd/]]
Jena; 50.9331401; 11.5833091; [[http://lpd.kraut.space/]]
Erlangen; 49.5981208; 11.0036532; [[http://www.erlug.de/linux-presentation-day/]]
Hanau; 50.1335542; 8.9168179; [[http://linuxwiki.de/LugHanau/LinuxPresentationDay]]
Esslingen am Neckar; 48.7427584; 9.3071685; [[http://www.cirrus7.com/blog/linux-presentation-day-esslingen/]]
Tübingen; 48.5236164; 9.0535531; [[http://tuebingen.linux.de/]]
Lünen; 51.6140848; 7.5239978; [[luenen-fablab.linux-presentation-day.de]]
Flensburg; 54.7833021; 9.4333264; [[http://lpd.lugfl.de/]]
Villingen-Schwenningen; 48.0632739; 8.494588; [[http://www.lug-vs.org/lugvswiki/index.php/LinuxPresentationDay2015]]
Konstanz; 47.659216; 9.1750718; [[http://www.phk-webservice.de/linux-presentation-day.php]]
Troisdorf; 50.8153071; 7.1593271; [[http://trolug.de/lpd2015.html]]
St. Gallen; 51.4312285; 12.5495463; [[https://ruum42.ch/kalender/lpd-2015]]
Fulda; 50.5521486; 9.676511; [[http://lug.rhoen.de/mw/index.php/Linux-Presentation-Day]]
Rosenheim; 47.8539273; 12.127262; [[http://www.lug-ro.org/]]
Offenburg; 48.4716556; 7.944378; [[http://www.freiesoftwareog.org/linuxpresentationday_og.html]]
Ravensburg; 47.7811014; 9.612468; [[http://www.infnet.verein.de/linux/index.html]]
Elmshorn; 53.7532486; 9.6524559; [[http://www.computerclub-elmshorn.de/linux-presentation-day/]]
Gotha; 50.9462725; 10.6945265; [[https://www.tif-it.org/doku.php?id=pages:lpd]]
Saarlouis; 49.3164661; 6.749846; [[http://www.lug-saar.de/lpd.html]]
Wernigerode; 51.8344172; 10.7862526; [[http://www.lug-wr.de/lpd.html]]
Einbeck; 51.8184594; 9.8681643; [[https://nerdbridge.de/nerdbridge-macht-mit-beim-linux-presentation-day/]]
Altdorf (Bayern); 48.5549274; 12.1080947; [[http://wiki.gluga.de/#_linux_presentation_day]]
Eifel; 49.9562832; 6.9108091; [[http://www.eifeltux.de/index.php/l-p-d]]
Sulingen; 52.6828374; 8.8018923; [[http://www.come-2-linux.de/linux-presentation-day/]]
Aidlingen; 48.6785572; 8.8983347; [[http://www.pc-treff-bb.de/wiki2/index.php/LPDay]]
Mitterteich; 49.9509217; 12.2432768; [[http://linux-mitterteich.de/index.php?id=140]]
Bern; 51.1150608; 7.1285485; [[http://lugbe.ch/]]
Bayreuth; 49.9427202; 11.5763079; [[http://www.linux-bayreuth.de/aktuelles/]]
Brandenburg an der Havel; 52.4108261; 12.5497933; [[http://www.bralug.de/wiki/Linux_Presentation_Day_am_14.11.2015]]
Landkreis Schaumburg (Niedersachsen); 52.2744184; 9.20899521967841; [[http://linux-presentation-day.lug-schaumburg.de/]]
Kaltenkirchen; 53.8371714; 9.9614889; [[http://kaki-pc.bplaced.net/pages/lpd-standort.php]]
